pdb_id,mean_beta,std_beta,max_beta,min_beta,at_content,seq_len
3ISD,1.607909208077813e-16,1.2271916710687845,2.2130186651669925,-0.9986552266819436,0.26666666666666666,30
4AH1,-1.785358647708022e-16,0.1895738954734837,0.3048964280625387,-0.4961645743542737,0.5,24
1U49,2.2489133062919837e-16,0.2547066190254081,0.38440895729386776,-0.5231530856121519,0.38095238095238093,21
2EVI,-2.304919540254401e-16,0.30650439806291496,0.41320615612269457,-0.8285288000194833,0.5555555555555556,27
2O7Y,-9.71445146547012e-17,0.39463071393324073,0.7197938755942136,-0.6488313531011165,0.36,25
7YWH,1.881733940042638e-16,0.4834361424787742,1.0472279465864274,-0.7716861018760988,0.5466666666666666,300
9EWZ,5.680210823663592e-17,0.5143229384950855,1.3690611767528047,-0.6577420336518758,0.52,50
7B0H,-1.5139404881252134e-16,1.1885922565295302,2.796340182834499,-0.9042083096621915,0.47368421052631576,38
5J5P,0.0,0.0,0.0,0.0,0.0,24
1SFU,3.2653618371328133e-18,0.2124585267670847,0.28695620937815847,-0.43561207046800887,0.0,12
7RIW,-6.427606984671959e-17,1.0266329736754405,2.084471074190885,-0.8545492359418252,0.44,50
2OXM,1.2529659849341052e-16,0.18995830634510963,0.2320974223697074,-0.4238481242213305,0.7777777777777778,18
5HNK,-1.9317880628477724e-16,0.5691973720316083,1.0911861098157845,-0.627550089739745,0.5,24
6ASX,-1.4704549634662978e-16,0.8624642522864202,1.811566507912961,-0.9568265099077041,0.43283582089552236,67
1B60,7.236275071217538e-17,0.1419888069663441,0.21847144399062432,-0.25730731075886004,0.38095238095238093,21
2OZS,-1.609823385706477e-16,0.4568659405646013,0.5893408381139202,-0.9614496734073913,0.41935483870967744,31
6P1V,-6.106226635438361e-17,0.5162617006649031,1.0112606294753541,-0.7490249892853007,0.23529411764705882,17
269D,-8.701748030845821e-17,0.1537379519604256,0.1819784935095502,-0.45877980590708894,0.36363636363636365,22
1FJA,-1.4617936490897894e-16,0.323489851422395,0.41881845585268723,-0.5179441741997378,0.3333333333333333,12
7OOS,-9.516197353929913e-18,0.21183653780248768,0.3477994399497144,-0.5387491238957817,0.6666666666666666,18
1AGU,-9.933574430856664e-17,0.23841614853799056,0.400712200866175,-0.48031406926709286,0.42857142857142855,21
